S000000001	YAL001C	TFC3	TSV115 transcription factor TFIIIC subunit TFC3 tau 138 FUN24
S000000002	YAL002W	VPS8	VPT8 FUN15 CORVET complex membrane-binding subunit VPS8 VPL8
S000000003	YAL003W	EFB1	eEF1Balpha EF-1beta translation elongation factor 1 subunit beta TEF5
S000000004	YAL005C	SSA1	Hsp70 family ATPase SSA1 YG100
S000000005	YAL007C	ERP2	""
S000000006	YAL008W	FUN14	""
S000000007	YAL009W	SPO7	Nem1-Spo7 phosphatase regulatory subunit SPO7
S000000008	YAL010C	MDM10	FUN37
S000000009	YAL011W	SWC3	SWC1
S000000010	YAL012W	CYS3	STR1 FUN35 cystathionine gamma-lyase CYS3 CYI1
S000000011	YAL013W	DEP1	Rpd3L histone deacetylase complex subunit DEP1 FUN54
S000000012	YAL014C	SYN8	SLT2 syntaxin UIP2
S000000013	YAL015C	NTG1	SCR1 FUN33 bifunctional N-glycosylase/AP lyase NTG1 ogg2
S000000014	YAL016W	TPD3	FUN32 protein phosphatase 2A structural subunit TPD3
S000000015	YAL017W	PSK1	serine/threonine protein kinase PSK1 FUN31
S000000016	YAL018C	LDS1	""
S000000017	YAL019W	FUN30	DNA-dependent ATPase FUN30
S000000018	YAL020C	ATS1	KTI13 FUN28
S000000019	YAL021C	CCR4	FUN27 NUT21 CCR4-NOT core exoribonuclease subunit CCR4
S000000020	YAL022C	FUN26	nucleoside transmembrane transporter FUN26
S000000021	YAL023C	PMT2	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2 FUN25
S000000022	YAL024C	LTE1	MSI2 mitotic regulator LTE1
S000000023	YAL025C	MAK16	ribosome biosynthesis protein MAK16
S000000024	YAL026C	DRS2	SWA3 FUN38 aminophospholipid-translocating P4-type ATPase DRS2
S000000025	YAL027W	SAW1	DNA-binding protein SAW1
S000000026	YAL028W	FRT2	HPH2
S000000027	YAL029C	MYO4	FUN22 myosin 4 SHE1
S000000028	YAL030W	SNC1	SNAP receptor SNC1
S000000029	YAL031C	GIP4	protein phosphatase regulator GIP4 FUN21
S000000030	YAL032C	PRP45	FUN20 mRNA splicing protein PRP45
S000000031	YAL033W	POP5	RNA-binding protein POP5 FUN53
S000000032	YAL034W-A	MTW1	MIND complex subunit MTW1 DSN3 NSL2
S000000033	YAL035W	FUN12	eIF5B yIF2 translation initiation factor eIF5B
S000000034	YAL036C	RBG1	GTP-binding protein RBG1 FUN11
S000000035	YAL037W	""	""
S000000036	YAL038W	CDC19	PYK1 pyruvate kinase CDC19
S000000037	YAL039C	CYC3	holocytochrome c synthase CYC3 CCHL
S000000038	YAL040C	CLN3	DAF1 FUN10 WHI1 cyclin CLN3
S000000039	YAL041W	CDC24	CLS4 Rho family guanine nucleotide exchange factor CDC24
S000000040	YAL042W	ERV46	FUN9
S000000041	YAL043C	PTA1	RNA-processing protein PTA1 FUN39
S000000042	YAL044C	GCV3	glycine decarboxylase subunit H
S000000043	YAL045C	""	""
S000000044	YAL046C	AIM1	""
S000000045	YAL047C	SPC72	LDB4 gamma-tubulin complex subunit SPC72
S000000046	YAL048C	GEM1	ERMES complex Ca(2+)-binding regulatory GTPase GEM1 GON1
S000000047	YAL049C	AIM2	protein AIM2
S000000048	YAL051W	OAF1	oleate-activated transcription factor OAF1 YAF1
S000000049	YAL053W	FLC2	HUF2 flavin adenine dinucleotide transporter FLC2
S000000050	YAL054C	ACS1	acetate--CoA ligase 1 FUN44
S000000051	YAL055W	PEX22	ubiquitin-protein transferase activating protein PEX22 YAF5
S000000052	YAL056W	GPB2	KRH1
S000000054	YAL058W	CNE1	calnexin FUN48
S000000055	YAL059W	ECM1	""
S000000056	YAL060W	BDH1	BDH (R,R)-butanediol dehydrogenase
S000000057	YAL061W	BDH2	putative dehydrogenase BDH2
S000000058	YAL062W	GDH3	glutamate dehydrogenase (NADP(+)) GDH3 FUN51
S000000059	YAL063C	FLO9	flocculin FLO9
S000000060	YAL064W	""	""
S000000061	YAL066W	""	""
S000000062	YAL067C	SEO1	putative permease SEO1
S000000063	YAR002W	NUP60	FG-nucleoporin NUP60
S000000064	YAR003W	SWD1	FUN16 COMPASS subunit protein SWD1 SAF49 CPS50
S000000065	YAR007C	RFA1	BUF2 FUN3 RPA1 RPA70 replication factor A subunit protein RFA1
S000000066	YAR008W	SEN34	tRNA-splicing endonuclease subunit SEN34 FUN4
S000000069	YAR014C	BUD14	protein phosphatase regulator BUD14
S000000070	YAR015W	ADE1	phosphoribosylaminoimidazolesuccinocarboxamide synthase
S000000071	YAR018C	KIN3	FUN52 NPK1 serine/threonine protein kinase KIN3
S000000072	YAR019C	CDC15	LYT1 serine/threonine protein kinase CDC15
S000000073	YAR020C	PAU7	seripauperin PAU7
S000000074	YAR023C	""	DUP240 family protein
S000000075	YAR027W	UIP3	DUP240 family protein UIP3
S000000076	YAR028W	""	DUP240 family protein
S000000077	YAR029W	""	DUP240 family protein
S000000078	YAR031W	PRM9	pheromone-regulated DUP240 family protein PRM9
S000000079	YAR033W	MST28	DUP240 family protein MST28
S000000080	YAR035W	YAT1	carnitine O-acetyltransferase YAT1
S000000081	YAR042W	SWH1	YAR044W OSH1 oxysterol-binding protein related protein SWH1
S000000083	YAR047C	""	""
S000000084	YAR050W	FLO1	FLO2 FLO4 flocculin FLO1
S000000085	YAR053W	""	""
S000000086	YAR060C	""	""
S000000089	YAR064W	""	""
S000000091	YAR068W	""	""
S000000092	YAR069C	""	""
S000000093	YAR070C	""	""
S000000094	YAR071W	PHO11	acid phosphatase PHO11
S000000095	YAR073W	IMD1	""
S000000097	YBL001C	ECM15	""
S000000098	YBL002W	HTB2	histone H2B
S000000099	YBL003C	HTA2	H2A2 histone H2A
S000000100	YBL004W	UTP20	""
S000000101	YBL005W	PDR3	TPE2 AMY2 drug-responsive transcription factor PDR3
S000000102	YBL006C	LDB7	RSC14
S000000103	YBL007C	SLA1	cytoskeletal protein-binding protein SLA1
S000000104	YBL008W	HIR1	""
S000000105	YBL009W	ALK2	protein kinase ALK2
S000000106	YBL010C	""	""
S000000107	YBL011W	SCT1	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1 GAT2
S000000108	YBL012C	""	""
S000000109	YBL013W	FMT1	""
S000000110	YBL014C	RRN6	""
S000000111	YBL015W	ACH1	""
S000000112	YBL016W	FUS3	DAC2 mitogen-activated serine/threonine-protein kinase FUS3
S000000113	YBL017C	PEP1	VPS10 VPT1
S000000114	YBL018C	POP8	""
S000000115	YBL019W	APN2	DNA-(apurinic or apyrimidinic site) lyase APN2 ETH1
S000000116	YBL020W	RFT1	glycolipid translocation protein
S000000117	YBL021C	HAP3	""
S000000118	YBL022C	PIM1	ATP-dependent Lon protease PIM1 LON1
S000000119	YBL023C	MCM2	MCM DNA helicase complex subunit MCM2
S000000120	YBL024W	NCL1	TRM4 tRNA (cytosine-5-)-methyltransferase
S000000121	YBL025W	RRN10	""
S000000122	YBL026W	LSM2	SMX5 Sm-like protein LSM2 SNP3
S000000123	YBL027W	RPL19B	L19B L23B ribosomal 60S subunit protein L19B L19e rpl5L YL14
S000000124	YBL028C	""	""
S000000125	YBL029W	""	""
S000000126	YBL030C	PET9	OP1 AAC2 ADP/ATP carrier protein PET9 ANC2
S000000127	YBL031W	SHE1	""
S000000128	YBL032W	HEK2	KHD1
S000000129	YBL033C	RIB1	GTP cyclohydrolase II
S000000130	YBL034C	STU1	""
S000000131	YBL035C	POL12	DNA-directed DNA polymerase alpha subunit POL12
S000000132	YBL036C	""	""
S000000133	YBL037W	APL3	""
S000000134	YBL038W	MRPL16	YmL47 RML16 mitochondrial 54S ribosomal protein YmL47
S000000135	YBL039C	URA7	CTP synthase URA7
S000000136	YBL040C	ERD2	""
S000000137	YBL041W	PRE7	proteasome core particle subunit beta 6 PRS3
S000000138	YBL042C	FUI1	""
S000000139	YBL043W	ECM13	""
S000000140	YBL044W	""	""
S000000141	YBL045C	COR1	QCR1 ubiquinol--cytochrome-c reductase subunit COR1
S000000142	YBL046W	PSY4	HSM6
S000000143	YBL047C	EDE1	BUD15
S000000144	YBL048W	RRT1	""
S000000145	YBL049W	MOH1	""
S000000146	YBL050W	SEC17	RNS3
S000000147	YBL051C	PIN4	MDT1
S000000148	YBL052C	SAS3	KAT6
S000000149	YBL053W	""	""
S000000150	YBL054W	TOD6	PBF1
S000000151	YBL055C	""	Tat-D 3'-5'-exodeoxyribonuclease
S000000152	YBL056W	PTC3	type 2C protein phosphatase PTC3
S000000153	YBL057C	PTH2	aminoacyl-tRNA hydrolase
S000000154	YBL058W	SHP1	UBX1 protein phosphatase regulator SHP1
S000000155	YBL059W	""	""
S000000156	YBL060W	YEL1	Arf family guanine nucleotide exchange factor YEL1
S000000157	YBL061C	SKT5	CHS4 CSD4 CAL2
S000000158	YBL062W	""	""
S000000159	YBL063W	KIP1	CIN9
S000000160	YBL064C	PRX1	thioredoxin peroxidase PRX1
S000000161	YBL065W	""	""
S000000162	YBL066C	SEF1	""
S000000163	YBL067C	UBP13	ubiquitin-specific protease UBP13
S000000164	YBL068W	PRS4	ribose phosphate diphosphokinase subunit PRS4
S000000165	YBL069W	AST1	""
S000000166	YBL070C	""	""
S000000167	YBL071C	""	""
S000000168	YBL072C	RPS8A	YS9 S14A S8A ribosomal 40S subunit protein S8A S8e rp19
S000000169	YBL073W	""	""
S000000170	YBL074C	AAR2	U5 snRNP complex subunit AAR2
S000000171	YBL075C	SSA3	Hsp70 family ATPase SSA3 YG106
S000000172	YBL076C	ILS1	isoleucine--tRNA ligase ILS1
S000000173	YBL077W	""	""
S000000174	YBL078C	ATG8	CVT5 AUT7 APG8 ubiquitin-like protein ATG8
S000000175	YBL079W	NUP170	NLE3
S000000176	YBL080C	PET112	glutamyl-tRNA(Gln) amidotransferase subunit PET112
S000000177	YBL081W	""	""
S000000178	YBL082C	ALG3	RHK1 dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
S000000179	YBL083C	""	""
S000000180	YBL084C	CDC27	SNB1 APC3 anaphase promoting complex subunit CDC27
S000000181	YBL085W	BOI1	GIN7 BOB1
S000000182	YBL086C	""	""
S000000183	YBL087C	RPL23A	L23A L17aA YL32 ribosomal 60S subunit protein L23A L14
S000000184	YBL088C	TEL1	DNA-binding protein kinase TEL1
S000000185	YBL089W	AVT5	""
S000000186	YBL090W	MRP21	mitochondrial 37S ribosomal protein MRP21 MRP50
S000000187	YBL091C	MAP2	methionine aminopeptidase
S000000188	YBL092W	RPL32	L32 ribosomal 60S subunit protein L32 L32e
S000000189	YBL093C	ROX3	MED19 SSX2 SSN7 NUT3
S000000190	YBL094C	""	""
S000000191	YBL095W	MRX3	""
S000000192	YBL096C	""	""
S000000193	YBL097W	BRN1	condensin subunit BRN1
S000000194	YBL098W	BNA4	kynurenine 3-monooxygenase
S000000195	YBL099W	ATP1	F1F0 ATP synthase subunit alpha
S000000196	YBL100C	""	""
S000000197	YBL101C	ECM21	ART2
S000000198	YBL102W	SFT2	""
S000000199	YBL103C	RTG3	""
S000000200	YBL104C	SEA4	YBL103C-A
S000000201	YBL105C	PKC1	protein kinase C CLY7 CLY5 CLY15 HPO2 STT1
S000000202	YBL106C	SRO77	putative Rab GTPase-binding protein SRO77 SOP2 SNI2
S000000203	YBL107C	MIX23	MIC23
S000000204	YBL108W	""	""
S000000205	YBR001C	NTH2	alpha,alpha-trehalase NTH2
S000000206	YBR002C	RER2	ditrans,polycis-polyprenyl diphosphate synthase
S000000207	YBR003W	COQ1	trans-hexaprenyltranstransferase
S000000208	YBR004C	GPI18	GPI-anchor transamidase  GPI18 FMP44
S000000209	YBR005W	RCR1	SSH6
S000000210	YBR006W	UGA2	UGA5 succinate-semialdehyde dehydrogenase (NAD(P)(+))
S000000211	YBR007C	DSF2	""
S000000212	YBR008C	FLR1	""
S000000213	YBR009C	HHF1	histone H4
S000000214	YBR010W	HHT1	histone H3 BUR5 SIN2
S000000215	YBR011C	IPP1	inorganic diphosphatase IPP1 PPA1
S000000216	YBR012C	""	""
S000000217	YBR013C	""	""
S000000218	YBR014C	GRX7	glutathione-disulfide reductase GRX7
S000000219	YBR015C	MNN2	LDB8 TTP1 alpha-1,2-mannosyltransferase MNN2 CRV4
S000000220	YBR016W	""	""
S000000221	YBR017C	KAP104	""
S000000222	YBR018C	GAL7	UDP-glucose:hexose-1-phosphate uridylyltransferase
S000000223	YBR019C	GAL10	bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
S000000224	YBR020W	GAL1	galactokinase
S000000225	YBR021W	FUR4	""
S000000226	YBR022W	POA1	ADP-ribose 1''-phosphate phosphatase
S000000227	YBR023C	CHS3	KTI2 CAL1 DIT101 CSD2 chitin synthase CHS3
S000000228	YBR024W	SCO2	putative thioredoxin peroxidase SCO2
S000000229	YBR025C	OLA1	""
S000000230	YBR026C	ETR1	MRF1 MRF1'
S000000231	YBR027C	""	""
S000000232	YBR028C	YPK3	putative protein kinase YPK3
S000000233	YBR029C	CDS1	phosphatidate cytidylyltransferase CDG1
S000000234	YBR030W	RKM3	""
S000000235	YBR031W	RPL4A	L4A L2A ribosomal 60S subunit protein L4A L4 rp2 YL2
S000000236	YBR032W	""	""
S000000237	YBR033W	EDS1	""
S000000238	YBR034C	HMT1	ODP1 HCP1 protein-arginine omega-N  methyltransferase HMT1 RMT1
S000000239	YBR035C	PDX3	pyridoxamine-phosphate oxidase PDX3
S000000240	YBR036C	CSG2	mannosylinositol phosphorylceramide synthase regulatory subunit CLS2
S000000241	YBR037C	SCO1	Cu-binding protein SCO1 PET161
S000000242	YBR038W	CHS2	chitin synthase CHS2
S000000243	YBR039W	ATP3	F1F0 ATP synthase subunit gamma
S000000244	YBR040W	FIG1	""
S000000245	YBR041W	FAT1	long-chain fatty acid transporter FAT1
S000000246	YBR042C	CST26	PSI1 putative acyltransferase
S000000247	YBR043C	QDR3	AQR2
S000000248	YBR044C	TCM62	""
S000000249	YBR045C	GIP1	protein phosphatase regulator GIP1
S000000250	YBR046C	ZTA1	""
S000000251	YBR047W	FMP23	""
S000000252	YBR048W	RPS11B	rp41B YS12 S11B S18B ribosomal 40S subunit protein S11B S17
S000000253	YBR049C	REB1	GRF2 DNA-binding protein REB1
S000000254	YBR050C	REG2	protein phosphatase regulator REG2
S000000255	YBR051W	""	""
S000000256	YBR052C	RFS1	""
S000000257	YBR053C	""	""
S000000258	YBR054W	YRO2	""
S000000259	YBR055C	PRP6	RNA6 TSM7269 U4/U6-U5 snRNP complex subunit PRP6
S000000260	YBR056W	""	17-beta-hydroxysteroid dehydrogenase-like protein
S000000261	YBR057C	MUM2	SPOT8
S000000262	YBR058C	UBP14	GID6 ubiquitin-specific protease UBP14
S000000263	YBR059C	AKL1	serine/threonine protein kinase AKL1
S000000264	YBR060C	ORC2	origin recognition complex subunit 2 SIR5 RRR1
S000000265	YBR061C	TRM7	tRNA methyltransferase TRM7
S000000266	YBR062C	""	""
S000000267	YBR063C	""	""
S000000268	YBR064W	""	""
S000000269	YBR065C	ECM2	SLT11
S000000270	YBR066C	NRG2	""
S000000271	YBR067C	TIP1	putative lipase
S000000272	YBR068C	BAP2	branched-chain amino acid permease BAP2
S000000273	YBR069C	TAT1	VAP1 amino acid transporter TAT1 TAP1
S000000274	YBR070C	ALG14	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14
S000000275	YBR071W	""	""
S000000276	YBR072W	HSP26	chaperone protein HSP26
